Date,ExchangeRate,RateType,Source,LoadTimestampUTC
2025-01-03,52.5723,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-07,53.012,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-08,53.0704,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-09,53.2827,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-10,53.8522,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-14,53.8791,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-15,53.9642,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-16,54.3694,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-17,54.76,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-20,54.9113,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-21,54.9852,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-22,55.2999,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-23,55.7611,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-24,56.283,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-27,56.6522,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-28,56.8562,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-29,57.2974,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-30,57.3929,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-01-31,57.9666,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-02-03,58.4437,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-02-04,58.5404,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2025-02-05,58.7938,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
